,RANK,NAME,TEAM,POS,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,REB,AST,STL,BLK,TO,Offensive Impact,Defensive Impact,Playmaking Ability,Scoring Threat,Reliability
0,1,Caitlin Clark,IOWA,G,39,34.9,31.6,10.3,22.7,45.5,5.2,13.6,37.8,5.8,6.8,86,7.4,8.9,1.7,0.5,4.7,75.876217765043,0.169054441260745,1.5614035087719298,245.12390000000002,1258.8805
1,2,JuJu Watkins,USC,G,34,34.6,27.1,9,22.4,40.1,2,6.2,31.9,7.1,8.3,85.2,7.3,3.3,2.3,1.6,4.1,47.92348265895954,0.21820809248554912,0.6470588235294118,182.3808,947.8041499999999
2,3,Lucy Olsen,VILL,G,35,36.2,23.3,8.9,20.3,43.8,1.6,5.3,29.4,3.9,4.9,80.7,4.8,3.8,1.9,0.6,2.5,42.11968232044198,0.13535911602209943,1.0857142857142856,149.73299999999998,928.5887
3,4,Chellia Watson,BUF,G,33,36.3,23,9,21.2,42.5,1.9,6,32.5,3.1,3.8,80.2,5.1,3.3,1.1,0.1,2.9,40.22258953168044,0.10330578512396695,0.8461538461538461,149.9206,889.4812499999999
4,5,Elizabeth Kitley,VT,C,29,34.3,22.8,9.6,17.2,55.6,0.1,0.2,40,3.6,4.6,77.4,11.4,1.8,0.6,2.1,2.1,43.92594752186589,0.2448979591836735,0.5806451612903226,160.3008,1092.4356
5,6,Hannah Hidalgo,ND,G,35,35.9,22.6,7.9,17.8,44.6,1.4,4.2,34,5.3,6.8,77.6,6.2,5.5,4.6,0.1,3.4,46.889136490250706,0.2172701949860724,1.25,150.53499999999997,914.0441000000001
6,7,Rachael Rose,WOF,G,30,35.9,22.3,7.9,15.7,50.4,1.9,4.6,40.3,4.7,5.4,87,8.3,5.4,2.1,0.3,2.4,52.510515320334264,0.18245125348189417,1.5882352941176472,173.08679999999998,1013.5182
7,8,Dyaisha Fair,SYR,G,32,37.6,22.3,7.4,18.8,39.2,3.6,9.5,37.7,3.9,4.9,79.6,4.6,3.6,2.4,0.2,2.1,38.32945478723404,0.13031914893617022,1.1612903225806452,159.07920000000001,826.9104000000002
8,9,Izzy Higginbottom,ARST,G,26,37.2,22.2,7,15.2,46.2,1.4,3.8,36.7,6.7,7.4,91.1,4,3.7,1.3,0.2,2.1,43.74677419354839,0.09408602150537634,1.1935483870967742,166.32740000000004,956.8452000000001
9,10,McKenna Hofschild,CSU,G,31,36.2,22.1,7.9,17,46.4,1.9,4.8,39.6,4.4,5.4,82.5,3.9,7.3,1.2,0.1,2.4,54.400759668508286,0.08977900552486187,2.1470588235294117,161.586,930.6232000000001
10,11,Terren Ward,GASO,G,29,30,22,7.9,20,39.6,2.1,6.3,32.8,4,5.1,79.6,9.1,1.9,1.8,0.7,3.3,41.083999999999996,0.235,0.4418604651162791,143.03199999999998,658.4000000000001
