RANK,NAME,TEAM,POS,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,REB,AST,STL,BLK,TO,id,team_img,player_img
1,Caitlin Clark,IOWA,G,39,34.9,31.6,10.3,22.7,45.5,5.2,13.6,37.8,5.8,6.8,86.0,7.4,8.9,1.7,0.5,4.7,4433403,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2294.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://a.espncdn.com/combiner/i?img=/i/headshots/womens-college-basketball/players/full/4433403.png&w=350&h=254
2,JuJu Watkins,USC,G,34,34.6,27.1,9.0,22.4,40.1,2.0,6.2,31.9,7.1,8.3,85.2,7.3,3.3,2.3,1.6,4.1,5175946,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/30.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://a.espncdn.com/combiner/i?img=/i/headshots/womens-college-basketball/players/full/5175946.png&w=350&h=254
3,Lucy Olsen,VILL,G,35,36.2,23.3,8.9,20.3,43.8,1.6,5.3,29.4,3.9,4.9,80.7,4.8,3.8,1.9,0.6,2.5,4433815,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/222.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://a.espncdn.com/combiner/i?img=/i/headshots/womens-college-basketball/players/full/4433815.png&w=350&h=254
4,Chellia Watson,BUF,G,33,36.3,23.0,9.0,21.2,42.5,1.9,6.0,32.5,3.1,3.8,80.2,5.1,3.3,1.1,0.1,2.9,4594522,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2084.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://a.espncdn.com/combiner/i?img=/i/headshots/womens-college-basketball/players/full/4594522.png&w=350&h=254
5,Elizabeth Kitley,VT,C,29,34.3,22.8,9.6,17.2,55.6,0.1,0.2,40.0,3.6,4.6,77.4,11.4,1.8,0.6,2.1,2.1,4433309,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/259.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://a.espncdn.com/combiner/i?img=/i/headshots/womens-college-basketball/players/full/4433309.png&w=350&h=254
6,Hannah Hidalgo,ND,G,35,35.9,22.6,7.9,17.8,44.6,1.4,4.2,34.0,5.3,6.8,77.6,6.2,5.5,4.6,0.1,3.4,5174674,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/87.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://a.espncdn.com/combiner/i?img=/i/headshots/womens-college-basketball/players/full/5174674.png&w=350&h=254
7,Rachael Rose,WOF,G,30,35.9,22.3,7.9,15.7,50.4,1.9,4.6,40.3,4.7,5.4,87.0,8.3,5.4,2.1,0.3,2.4,4899622,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2747.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://a.espncdn.com/combiner/i?img=/i/headshots/womens-college-basketball/players/full/4899622.png&w=350&h=254
8,Dyaisha Fair,SYR,G,32,37.6,22.3,7.4,18.8,39.2,3.6,9.5,37.7,3.9,4.9,79.6,4.6,3.6,2.4,0.2,2.1,4595236,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/183.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://a.espncdn.com/combiner/i?img=/i/headshots/womens-college-basketball/players/full/4595236.png&w=350&h=254
9,Izzy Higginbottom,ARST,G,26,37.2,22.2,7.0,15.2,46.2,1.4,3.8,36.7,6.7,7.4,91.1,4.0,3.7,1.3,0.2,2.1,4434013,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2032.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://a.espncdn.com/combiner/i?img=/i/headshots/womens-college-basketball/players/full/4434013.png&w=350&h=254
10,McKenna Hofschild,CSU,G,31,36.2,22.1,7.9,17.0,46.4,1.9,4.8,39.6,4.4,5.4,82.5,3.9,7.3,1.2,0.1,2.4,4595160,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/36.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://a.espncdn.com/combiner/i?img=/i/headshots/womens-college-basketball/players/full/4595160.png&w=350&h=254
