,RANK,NAME,TEAM,POS,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,REB,AST,STL,BLK,TO
0,1,Caitlin Clark,IOWA,G,39,34.9,31.6,10.3,22.7,45.5,5.2,13.6,37.8,5.8,6.8,86.0,7.4,8.9,1.7,0.5,4.7
1,2,JuJu Watkins,USC,G,34,34.6,27.1,9.0,22.4,40.1,2.0,6.2,31.9,7.1,8.3,85.2,7.3,3.3,2.3,1.6,4.1
2,3,Lucy Olsen,VILL,G,35,36.2,23.3,8.9,20.3,43.8,1.6,5.3,29.4,3.9,4.9,80.7,4.8,3.8,1.9,0.6,2.5
3,4,Chellia Watson,BUF,G,33,36.3,23.0,9.0,21.2,42.5,1.9,6.0,32.5,3.1,3.8,80.2,5.1,3.3,1.1,0.1,2.9
4,5,Elizabeth Kitley,VT,C,29,34.3,22.8,9.6,17.2,55.6,0.1,0.2,40.0,3.6,4.6,77.4,11.4,1.8,0.6,2.1,2.1
5,6,Hannah Hidalgo,ND,G,35,35.9,22.6,7.9,17.8,44.6,1.4,4.2,34.0,5.3,6.8,77.6,6.2,5.5,4.6,0.1,3.4
6,7,Rachael Rose,WOF,G,30,35.9,22.3,7.9,15.7,50.4,1.9,4.6,40.3,4.7,5.4,87.0,8.3,5.4,2.1,0.3,2.4
7,8,Dyaisha Fair,SYR,G,32,37.6,22.3,7.4,18.8,39.2,3.6,9.5,37.7,3.9,4.9,79.6,4.6,3.6,2.4,0.2,2.1
8,9,Izzy Higginbottom,ARST,G,26,37.2,22.2,7.0,15.2,46.2,1.4,3.8,36.7,6.7,7.4,91.1,4.0,3.7,1.3,0.2,2.1
9,10,McKenna Hofschild,CSU,G,31,36.2,22.1,7.9,17.0,46.4,1.9,4.8,39.6,4.4,5.4,82.5,3.9,7.3,1.2,0.1,2.4
10,11,Terren Ward,GASO,G,29,30.0,22.0,7.9,20.0,39.6,2.1,6.3,32.8,4.0,5.1,79.6,9.1,1.9,1.8,0.7,3.3
11,12,Paige Bueckers,CONN,G,39,31.9,21.9,8.1,15.3,53.0,2.2,5.2,41.6,3.5,4.2,83.4,5.2,3.8,2.2,1.4,1.5
12,13,Alissa Pili,UTAH,F,34,28.6,21.4,7.9,14.4,55.0,1.7,4.1,40.4,3.9,4.7,82.0,6.6,2.4,0.9,0.8,2.0
13,14,Ta'Niya Latson,FSU,G,33,30.9,21.4,7.8,17.8,43.8,0.8,3.0,27.0,4.9,5.8,85.3,4.2,4.2,1.5,0.5,3.0
14,15,Kacie Borowicz,UND,G,27,35.6,21.0,7.6,18.7,40.5,1.2,3.9,31.7,4.7,5.1,92.0,5.3,3.4,1.7,0.1,4.9
15,16,Temira Poindexter,TLSA,F,35,34.2,21.0,7.6,17.5,43.2,2.4,7.5,32.3,3.4,4.7,71.7,5.3,1.9,0.7,1.5,3.3
16,17,Danae McNeal,ECU,G,33,34.4,20.7,7.6,18.6,41.0,1.1,3.9,27.9,4.4,5.6,78.3,3.2,2.3,3.2,0.7,2.9
17,18,Chloe Webb,CBU,G,32,31.3,20.7,6.8,13.8,48.9,1.9,5.3,36.7,5.3,6.5,81.2,7.9,2.8,2.4,0.1,2.1
18,19,Kaitlin Peterson,UCF,G,29,37.6,20.7,6.8,17.9,38.2,2.2,6.8,33.0,4.8,6.3,75.4,3.8,1.4,2.0,0.1,2.4
19,20,Edyn Battle,JAX,G,31,34.1,20.4,7.5,17.1,43.5,1.2,3.7,33.0,4.3,6.0,71.4,3.6,2.5,1.6,0.1,3.8
20,21,Abbey Hsu,COLU,G,30,34.2,20.4,7.2,16.1,44.6,3.0,7.7,38.8,3.0,4.0,75.2,7.3,2.1,1.1,0.5,2.2
21,22,Domonique Davis,USM,G,33,32.2,20.2,6.8,15.5,44.1,1.5,4.3,35.2,5.0,6.1,81.7,3.8,3.3,1.5,0.1,2.7
22,23,Rickea Jackson,TENN,F,25,31.6,20.2,8.0,16.4,48.5,0.9,2.6,33.8,3.4,4.4,78.0,8.2,2.3,0.7,0.2,2.9
23,24,Mackenzie Holmes,IU,F,32,28.4,19.8,8.1,12.5,65.0,0.1,0.4,16.7,3.5,4.8,71.6,6.8,1.4,0.9,1.6,2.4
24,25,JJ Quinerly,WVU,G,33,31.1,19.8,7.3,15.8,46.2,1.7,4.8,34.4,3.5,4.5,78.5,3.2,2.7,2.9,0.1,3.3
25,26,Ayoka Lee,KSU,C,27,27.3,19.7,8.2,13.2,61.9,0.0,0.0,100.0,3.3,4.7,70.3,8.6,0.8,1.0,2.8,1.3
26,27,Yvonne Ejim,GONZ,F,34,27.3,19.7,8.4,14.0,60.1,0.0,0.2,14.3,2.9,3.5,81.5,8.7,2.3,1.4,1.0,1.8
27,28,Katelyn Young,MUR,F,32,29.7,19.5,7.4,14.4,51.2,1.1,3.7,29.4,3.7,4.2,88.1,7.9,2.2,1.0,0.6,2.2
28,29,Tess Heal,SCU,G,34,32.0,19.5,6.5,14.1,46.2,0.9,2.5,35.3,5.6,6.4,87.2,3.9,4.9,0.9,0.3,3.9
29,30,Jada Guinn,UTC,G,33,35.6,19.5,7.5,14.5,52.2,0.2,0.7,27.3,4.2,5.4,78.1,6.9,2.5,1.0,0.3,2.0
30,31,Raegan McCowan,WIU,G,30,30.1,19.4,7.4,16.1,46.1,0.3,0.8,34.8,4.4,5.5,78.9,8.1,1.2,0.7,0.2,3.1
31,32,Kiki Iriafen,STAN,F,36,27.7,19.4,8.1,14.8,54.6,0.1,0.2,33.3,3.2,4.2,77.3,11.0,2.3,0.6,0.6,2.3
32,33,Harmoni Turner,HARV,G,23,33.4,19.3,7.1,17.3,41.1,1.2,4.6,26.4,3.9,5.0,77.4,6.2,4.3,2.2,0.1,2.8
33,34,Alexis Hutchison,WRST,G,33,35.0,19.3,7.0,17.1,41.0,2.0,6.4,31.3,3.3,4.0,82.6,5.6,3.2,1.9,0.2,3.1
34,35,Daisha Bradford,ULM,G,35,33.0,19.3,6.7,17.1,39.0,2.2,7.0,30.9,3.8,5.0,76.0,7.5,4.3,1.8,0.5,3.2
35,36,Audi Crooks,ISU,C,33,26.2,19.2,7.8,13.5,57.7,0.2,0.5,31.3,3.5,5.3,65.5,7.8,1.0,0.5,0.5,2.5
36,37,Madison Conner,TCU,G,27,34.9,19.2,6.0,15.7,38.4,3.7,9.6,38.6,3.4,4.0,84.4,4.7,3.0,1.2,0.3,2.8
37,38,Aliyah Matharu,FLA,G,30,24.3,19.0,6.6,16.6,40.0,1.7,6.1,28.0,4.0,5.0,80.1,3.7,2.4,2.7,0.3,3.5
38,39,Delanie Crawford,TLSA,G,35,32.2,19.0,6.3,14.3,43.7,2.8,7.2,39.3,3.7,4.4,83.7,5.7,2.7,1.1,0.1,2.3
39,40,Anne Simon,ME,G,33,35.6,18.9,7.1,16.3,43.8,2.0,6.2,32.4,2.7,3.4,80.2,7.2,3.2,2.5,0.2,3.0
40,41,Georgia Amoore,VT,G,32,34.9,18.8,6.9,16.8,41.2,2.7,7.9,33.5,2.3,2.7,85.9,2.6,6.8,0.9,0.4,3.4
41,42,Ny'Ceara Pryor,SHU,G,34,32.6,18.7,6.9,14.8,46.4,0.3,1.5,20.0,4.7,6.6,71.7,7.1,4.5,3.4,0.2,2.1
42,43,Liatu King,PITT,F,32,35.4,18.7,7.7,14.7,52.3,0.0,0.0,0.0,3.3,4.7,71.1,10.3,1.8,1.8,1.5,3.4
43,44,Caitlin Weimar,BU,F,31,35.6,18.7,7.1,12.9,55.3,0.0,0.0,0.0,4.4,6.3,69.9,10.6,2.0,1.3,2.8,2.5
44,45,Angel Reese,LSU,F,33,31.5,18.6,6.4,13.5,47.1,0.0,0.3,11.1,5.8,8.1,72.6,13.4,2.3,1.9,1.0,2.4
45,46,Ahriahna Grizzle,FAMU,PG,30,34.3,18.4,6.5,15.5,42.2,1.2,3.5,34.3,4.1,5.4,76.5,3.5,3.0,2.3,0.5,3.8
46,47,Kaitlyn Zarycki,WMU,G,30,34.8,18.4,6.6,12.5,52.7,1.1,2.3,48.6,4.1,4.7,88.6,4.7,3.6,1.9,0.3,3.4
47,48,Unique Drake,SJU,G,33,36.2,18.4,6.7,15.8,42.4,2.4,6.5,36.9,2.5,3.1,82.4,2.2,1.4,0.7,0.2,1.7
48,49,Faith Alston,APP,G,32,34.3,18.3,6.0,14.7,40.6,1.6,5.4,29.1,4.8,6.1,78.6,3.2,4.7,1.9,0.2,4.3
49,50,Antwainette Walker,EKU,G,29,30.8,18.3,6.8,17.2,39.4,1.5,4.8,31.7,3.2,3.9,82.1,5.9,1.3,1.8,0.2,3.3
50,51,Laniah Randle,SIU,F,29,30.8,18.3,6.9,14.3,48.6,0.0,0.1,0.0,4.4,6.0,74.0,8.6,1.5,2.2,0.7,2.6
51,52,Desi-Rae Young,UNLV,C,33,28.8,18.3,7.6,13.4,56.8,0.3,1.0,29.4,2.8,4.0,68.4,9.1,2.2,1.3,0.4,2.3
52,53,Dazia Lawrence,CLT,G,31,33.0,18.2,6.4,14.9,42.6,1.1,3.6,31.3,4.4,5.5,80.0,4.2,2.7,1.8,0.1,3.0
53,54,Zanai Barnett-Gay,NAVY,G,30,34.6,18.2,6.8,16.7,40.6,1.0,3.5,29.5,3.6,4.7,75.9,6.2,3.0,3.0,0.2,3.3
54,55,Katie Dinnebier,DRKE,G,35,30.7,18.1,5.7,10.6,53.9,1.8,4.4,41.6,4.8,5.6,85.7,3.0,6.9,2.4,0.1,2.9
55,56,Taylor Donaldson,FOR,G,27,35.3,17.9,6.4,17.2,37.2,2.9,8.0,35.8,2.2,3.1,72.3,5.3,1.6,2.3,0.2,2.2
56,57,Jacy Sheldon,OSU,G,32,33.6,17.8,6.6,13.0,50.5,1.9,5.0,37.3,2.8,3.3,85.8,3.2,3.8,1.9,0.2,2.3
57,58,Macy McGlone,EIU,F,33,35.1,17.8,7.2,14.3,50.1,0.2,0.8,30.8,3.3,4.2,78.3,11.9,1.7,1.1,1.8,3.4
58,59,Kurstyn Harden,SFA,C,34,27.6,17.7,6.0,10.8,56.0,0.0,0.2,12.5,5.6,7.0,79.8,7.5,1.6,0.9,0.9,2.4
59,60,Liza Karlen,MARQ,F,32,31.0,17.7,7.5,15.1,49.7,0.8,2.2,35.7,1.9,2.3,82.2,7.9,2.1,0.8,1.2,2.4
60,61,Kierra Wheeler,NORF,F,32,30.6,17.6,7.0,14.1,50.0,0.1,0.1,66.7,3.5,4.9,70.9,9.7,1.5,1.6,1.6,2.2
61,62,Aaliyah Edwards,CONN,F,37,30.4,17.6,7.1,11.9,59.3,0.0,0.1,0.0,3.5,4.7,74.7,9.2,2.1,1.7,1.0,2.5
62,63,Savannah Wheeler,MTSU,G,35,38.1,17.5,5.8,14.4,40.6,1.7,4.5,37.1,4.2,4.9,86.0,4.4,5.0,1.3,0.1,2.4
63,64,Taleyah Jones,ORU,G,32,33.3,17.5,6.3,14.4,44.0,1.3,4.3,30.2,3.5,4.1,84.1,3.2,1.6,1.7,0.1,2.0
64,65,Raegan Beers,ORST,F,31,28.1,17.5,7.1,10.7,66.4,0.0,0.1,0.0,3.2,5.1,62.7,10.3,1.6,1.2,1.3,2.4
65,66,Lauren Jensen,CREI,G,32,34.8,17.4,6.5,14.7,44.3,2.3,6.3,36.6,2.1,2.3,90.7,3.7,3.1,0.8,0.3,1.8
66,67,Serah Williams,WIS,F,30,30.0,17.4,6.4,12.3,51.9,0.3,0.8,33.3,4.4,5.5,79.5,10.7,0.9,0.8,2.8,3.6
67,68,Kyren Whittington,TULN,G,27,30.5,17.4,6.3,12.5,50.0,1.4,4.0,35.5,3.4,4.5,76.2,3.4,2.4,2.5,0.2,2.7
68,69,Cameron Brink,STAN,F,34,25.4,17.4,6.3,12.3,51.1,0.6,2.0,30.4,4.2,5.0,83.6,11.9,2.8,0.8,3.7,2.4
